GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2015,2015,2015,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00333,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00318,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021,2021,2021,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,1.1052,1.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.09414,0.1,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2017,2017,2017,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,18.8157,18.8,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.26692,0.3,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,2011,2011,2011,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,60.0,60 [46-83],46.0,83.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,28.82977,28.8,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,3.04545,3,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1972,1972,1972,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,183.992021793,184.0 [143.5-234.3],143.489151324,234.28535787
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,69.0,69 [15-136],15.0,136.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2014,2014,2014,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,3.23148,3.2,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2014,2014,2014,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,27.509755904,27.5 [19.7-38.5],19.710827553,38.472525186
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2019,2019,2019,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,90.0,90 [55-147],55.0,147.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,79.0,79 [60-102],60.0,102.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,87.58269,87.6,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1990,1990,1990,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,141.196977136,141.2 [116.5-171.0],116.505008839,171.023366527
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2009,2009,2009,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0012,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.80852,0.8,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2021,2021,2021,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,26.0,26 [12-46],12.0,46.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00149,0,,
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,70.0,70 [51-95],51.0,95.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2004,2004,2004,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01803,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,2.83504,2.8,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.25942,0.3,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1996,1996,1996,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,362.0,362 [314-417],314.0,417.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,6.04878,6,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,117.0,117 [81-163],81.0,163.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2001,2001,2001,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,190.0,190 [156-226],156.0,226.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.03247,0,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1976,1976,1976,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,152.238935667,152.2 [122.2-190.4],122.218034364,190.425224881
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2017,2017,2017,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.02369,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2013,2013,2013,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,1.06575,1.1,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2009,2009,2009,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,72.0,72 [52-98],52.0,98.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,53.311867598,53.3 [39.1-72.3],39.080431675,72.333081882
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,29.416650002,29,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2005,2005,2005,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.72931,0.7,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,2.95446,3.0,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2015,2015,2015,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,30.840330354,30.8 [21.5-44.5],21.506506849,44.512825436
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2014,2014,2014,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,,,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2008,2008,2008,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,38.626207724,38.6 [31.1-47.6],31.050716877,47.609447248
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2007,2007,2007,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.32881,0.3,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2005,2005,2005,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,5.03013,5,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,1.95693,2,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2006,2006,2006,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,10.20148141,10.2 [6.8-14.2],6.750859154,14.180510895
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2000,2000,2000,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04949,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.00358,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.02997,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2017,2017,2017,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,8.195391119,8,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,7.59195,7.6,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,15.16221,15.2,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2013,2013,2013,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,34.0,34 [11-62],11.0,62.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,24.28279,24.3,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1995,1995,1995,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,12.505642285,12.5 [9.1-17.1],9.120336493,17.101084294
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,0.94313,0.9,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2005,2005,2005,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,7.66726,7.7,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2017,2017,2017,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,5.424520222,5.4 [1.6-10.7],1.584256844,10.685323616
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2011,2011,2011,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01441,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2019,2019,2019,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,39.390162849,39,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2017,2017,2017,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,1.64056,1.6,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0,,
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2023,2023,2023,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,7.726443286,7.7 [4.5-13.9],4.543943133,13.876557241
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1986,1986,1986,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,117.866476519,117.9 [100.0-140.0],99.978722404,139.988969865
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,459.0,459 [348-599],348.0,599.0
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,2006,2006,2006,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,77.0,77 [61-100],61.0,100.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2014,2014,2014,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.13606,0.1,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2014,2014,2014,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,34.0,34 [11-63],11.0,63.0
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2019,2019,2019,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,8.525972635,8.5 [5.6-14.0],5.602945407,14.024876284
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.59114,0.6,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2018,2018,2018,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,10.607354536,10.6 [6.0-16.6],5.981936637,16.576589208
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1996,1996,1996,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,93.303683947,93.3 [82.7-105.7],82.693122493,105.726853879
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,58.93939,58.9,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,30.68685,30.7,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2000,2000,2000,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,70.0,70 [13-154],13.0,154.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.05528,0.1,,
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2000,2000,2000,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,16.338070949,16.3 [13.0-21.4],12.988078695,21.419439292
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,36.30275,36.3,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,53.08832,53.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.04777,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,20.48947,20.5,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,1.05933,1.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,5.48186,5.5,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,6.580883189,6.6 [4.4-9.8],4.433038758,9.782208544
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,112.0,112 [81-158],81.0,158.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2016,2016,2016,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,2.12738,2.1,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1971,1971,1971,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,255.1734028,255.2 [198.8-327.3],198.802895808,327.319680556
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04911,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,2.14853,2.1,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,,,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,2003,2003,2003,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,403.0,403 [324-487],324.0,487.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2008,2008,2008,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,7.26807,7.3,,
